name,date,location,type,region
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South
The Budos Band,1/27/2024,The Showbox,Music,Downtown
The Budos Band,1/27/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown
JP Saxe,1/31/2024,The Showbox,Music,Downtown
JP Saxe,1/31/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Los Lobos,1/31/2024,The Triple Door,Music,Downtown
Los Lobos,1/31/2024,The Triple Door,Music,Downtown
BabyTron,2/1/2024,The Showbox,Music,Downtown
BabyTron,2/1/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Memoir,2/2/2024,Benaroya Hall,Music,Downtown
Memoir,2/2/2024,Benaroya Hall,Music,Downtown
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square
Not Available,Not Available,Not Available,Not Available,Not Available
Poolside,2/2/2024,The Showbox,Music,Downtown
Poolside,2/2/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown
Mau P,2/3/2024,The Showbox,Music,Downtown
Mau P,2/3/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown
Lil Skies,2/4/2024,The Showbox,Music,Downtown
Lil Skies,2/4/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square
Not Available,Not Available,Not Available,Not Available,Not Available
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
Night Lovell,2/6/2024,The Showbox,Music,Downtown
Night Lovell,2/6/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Soja,2/6/2024,The Neptune Theatre,Music,University District
Soja,2/6/2024,The Neptune Theatre,Music,University District
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square
Not Available,Not Available,Not Available,Not Available,Not Available
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
